group,member,treatment,treatment_centered,motivation,motivation_centered,pounds_lost,member_number
28,258,1,0.40415,3,-0.45337,15,1
28,259,1,0.40415,4,0.54663,15,2
28,260,1,0.40415,3,-0.45337,18,3
28,261,1,0.40415,3,-0.45337,18,4
28,262,1,0.40415,3,-0.45337,18,5
28,263,1,0.40415,3,-0.45337,13,6
29,264,1,0.40415,4,0.54663,20,1
29,265,1,0.40415,3,-0.45337,11,2
29,266,1,0.40415,5,1.54663,23,3
29,267,1,0.40415,1,-2.45337,5,4
29,268,1,0.40415,3,-0.45337,17,5
29,269,1,0.40415,2,-1.45337,12,6
30,270,1,0.40415,4,0.54663,18,1
30,271,1,0.40415,3,-0.45337,12,2
30,272,1,0.40415,4,0.54663,19,3
30,273,1,0.40415,4,0.54663,19,4
30,274,1,0.40415,3,-0.45337,7,5
31,275,1,0.40415,4,0.54663,20,1
31,276,1,0.40415,3,-0.45337,19,2
31,277,1,0.40415,4,0.54663,16,3
31,278,1,0.40415,6,2.54663,24,4
31,279,1,0.40415,1,-2.45337,0,5
31,280,1,0.40415,4,0.54663,22,6
31,281,1,0.40415,6,2.54663,27,7
31,282,1,0.40415,5,1.54663,20,8
31,283,1,0.40415,3,-0.45337,9,9
31,284,1,0.40415,2,-1.45337,10,10
31,285,1,0.40415,4,0.54663,16,11
31,286,1,0.40415,4,0.54663,20,12
32,287,1,0.40415,3,-0.45337,11,1
32,288,1,0.40415,2,-1.45337,6,2
32,289,1,0.40415,2,-1.45337,10,3
32,290,1,0.40415,2,-1.45337,9,4
32,291,1,0.40415,2,-1.45337,10,5
32,292,1,0.40415,1,-2.45337,4,6
32,293,1,0.40415,3,-0.45337,12,7
32,294,1,0.40415,3,-0.45337,15,8
32,295,1,0.40415,5,1.54663,20,9
32,296,1,0.40415,1,-2.45337,10,10
32,297,1,0.40415,2,-1.45337,9,11
32,298,1,0.40415,2,-1.45337,11,12
32,299,1,0.40415,4,0.54663,18,13
32,300,1,0.40415,3,-0.45337,15,14
33,301,1,0.40415,3,-0.45337,12,1
33,302,1,0.40415,4,0.54663,19,2
33,303,1,0.40415,4,0.54663,17,3
33,304,1,0.40415,4,0.54663,23,4
33,305,1,0.40415,3,-0.45337,17,5
33,306,1,0.40415,1,-2.45337,12,6
33,307,1,0.40415,4,0.54663,25,7
33,308,1,0.40415,3,-0.45337,15,8
33,309,1,0.40415,3,-0.45337,13,9
34,310,1,0.40415,6,2.54663,24,1
34,311,1,0.40415,2,-1.45337,9,2
34,312,1,0.40415,4,0.54663,19,3
34,313,1,0.40415,2,-1.45337,13,4
34,314,1,0.40415,3,-0.45337,15,5
34,315,1,0.40415,4,0.54663,17,6
34,316,1,0.40415,3,-0.45337,11,7
34,317,1,0.40415,4,0.54663,20,8
34,318,1,0.40415,2,-1.45337,13,9
34,319,1,0.40415,3,-0.45337,16,10
34,320,1,0.40415,3,-0.45337,14,11
35,321,1,0.40415,3,-0.45337,12,1
35,322,1,0.40415,3,-0.45337,13,2
35,323,1,0.40415,4,0.54663,22,3
35,324,1,0.40415,2,-1.45337,13,4
35,325,1,0.40415,4,0.54663,19,5
35,326,1,0.40415,3,-0.45337,18,6
35,327,1,0.40415,2,-1.45337,14,7
35,328,1,0.40415,5,1.54663,20,8
35,329,1,0.40415,3,-0.45337,12,9
35,330,1,0.40415,5,1.54663,24,10
35,331,1,0.40415,3,-0.45337,17,11
36,332,1,0.40415,4,0.54663,8,1
36,333,1,0.40415,3,-0.45337,13,2
36,334,1,0.40415,3,-0.45337,13,3
36,335,1,0.40415,4,0.54663,15,4
36,336,1,0.40415,5,1.54663,18,5
36,337,1,0.40415,3,-0.45337,15,6
36,338,1,0.40415,4,0.54663,15,7
36,339,1,0.40415,2,-1.45337,12,8
36,340,1,0.40415,3,-0.45337,16,9
36,341,1,0.40415,3,-0.45337,13,10
36,342,1,0.40415,3,-0.45337,8,11
36,343,1,0.40415,4,0.54663,16,12
36,344,1,0.40415,3,-0.45337,14,13
36,345,1,0.40415,2,-1.45337,8,14
37,346,1,0.40415,2,-1.45337,9,1
37,347,1,0.40415,4,0.54663,19,2
37,348,1,0.40415,5,1.54663,24,3
37,349,1,0.40415,3,-0.45337,13,4
37,350,1,0.40415,3,-0.45337,10,5
37,351,1,0.40415,3,-0.45337,19,6
37,352,1,0.40415,2,-1.45337,9,7
37,353,1,0.40415,2,-1.45337,8,8
37,354,1,0.40415,2,-1.45337,10,9
37,355,1,0.40415,1,-2.45337,1,10
37,356,1,0.40415,2,-1.45337,10,11
37,357,1,0.40415,3,-0.45337,14,12
37,358,1,0.40415,3,-0.45337,17,13
37,359,1,0.40415,6,2.54663,25,14
38,360,1,0.40415,4,0.54663,18,1
38,361,1,0.40415,3,-0.45337,16,2
38,362,1,0.40415,4,0.54663,18,3
38,363,1,0.40415,3,-0.45337,18,4
38,364,1,0.40415,3,-0.45337,15,5
38,365,1,0.40415,3,-0.45337,19,6
39,366,1,0.40415,4,0.54663,16,1
39,367,1,0.40415,2,-1.45337,7,2
39,368,1,0.40415,3,-0.45337,9,3
39,369,1,0.40415,2,-1.45337,5,4
39,370,1,0.40415,3,-0.45337,10,5
39,371,1,0.40415,3,-0.45337,11,6
39,372,1,0.40415,3,-0.45337,18,7
39,373,1,0.40415,1,-2.45337,2,8
40,374,1,0.40415,4,0.54663,19,1
40,375,1,0.40415,3,-0.45337,16,2
40,376,1,0.40415,4,0.54663,17,3
40,377,1,0.40415,4,0.54663,15,4
40,378,1,0.40415,4,0.54663,19,5
40,379,1,0.40415,4,0.54663,15,6
40,380,1,0.40415,3,-0.45337,12,7
40,381,1,0.40415,4,0.54663,17,8
40,382,1,0.40415,4,0.54663,20,9
40,383,1,0.40415,3,-0.45337,15,10
40,384,1,0.40415,3,-0.45337,15,11
40,385,1,0.40415,3,-0.45337,10,12
40,386,1,0.40415,4,0.54663,15,13
