,assignmentId,question,response,condition,task
32,3e5ad45a,assit_useful_detail,"It appeared to be useful sometimes. Other times, it completely had the wrong answer and had rated it highly as well.",Conf.+Adaptive,lsat
33,3e5ad45a,,no,Conf.+Adaptive,lsat
34,3e5ad45a,,,Conf.+Adaptive,lsat
35,3e5ad45b,assist_is_useful,4,Conf.+Double,lsat
36,3e5ad45b,expl_is_useful,4,Conf.+Double,lsat
37,3e5ad45b,assit_useful_detail,I chose my answer then checked with his answer against his. I read his explinations and answered with the additional information provided by the AI,Conf.+Double,lsat
38,3e5ad45b,,no,Conf.+Double,lsat
39,3e5ad45b,,,Conf.+Double,lsat
40,3e5ad45c,assist_is_useful,4,Conf.,lsat
41,3e5ad45c,expl_is_useful,,Conf.,lsat
42,3e5ad45c,assit_useful_detail,I would read it first to proof read the article. Sometimes the article threw some trick questions at me.,Conf.,lsat
43,3e5ad45c,,no,Conf.,lsat
44,3e5ad45c,,No I do not. It was fun. I wish Jarvis were a better guesser.,Conf.,lsat
45,3e5ad45e,assist_is_useful,4,Conf.+Adaptive,lsat
46,3e5ad45e,expl_is_useful,4,Conf.+Adaptive,lsat
47,3e5ad45e,assit_useful_detail,"I reviewed what he thought versus what I thought. However, I knew he wasn't always accurate so I weighed my opinions heavier than his.",Conf.+Adaptive,lsat
48,3e5ad45e,,no,Conf.+Adaptive,lsat
49,3e5ad45e,,,Conf.+Adaptive,lsat
50,3e5ad460,assist_is_useful,4,Conf.+Double,lsat
51,3e5ad460,expl_is_useful,3,Conf.+Double,lsat
52,3e5ad460,assit_useful_detail,i used the Jarvis's  suggestions and explanations to solve the tasks,Conf.+Double,lsat
53,3e5ad460,,no,Conf.+Double,lsat
54,3e5ad460,,,Conf.+Double,lsat
55,3e5ad461,assist_is_useful,4,Conf.+Single,lsat
56,3e5ad461,expl_is_useful,4,Conf.+Single,lsat
57,3e5ad461,assit_useful_detail,I mainly just used it as shorthand.  I tried to come up with my own answer on most of them independently of Jarvis.  He confirmed my suspicions more than anything else.,Conf.+Single,lsat
58,3e5ad461,,no,Conf.+Single,lsat
59,3e5ad461,,Thanks!,Conf.+Single,lsat
60,3e5ad462,assist_is_useful,3,Conf.,lsat
61,3e5ad462,expl_is_useful,,Conf.,lsat
62,3e5ad462,assit_useful_detail,I didn't really use it at all. I used my intuition to come up with the answer and never changed it just because Jarvis disagreed.,Conf.,lsat
63,3e5ad462,,no,Conf.,lsat
64,3e5ad462,,,Conf.,lsat
65,3e5ad463,assist_is_useful,4,Conf.+Adaptive,lsat
66,3e5ad463,expl_is_useful,4,Conf.+Adaptive,lsat
67,3e5ad463,assit_useful_detail,"I used Jarvis's explanations as a supplement to my decision-making. If the reasons given by Jarvis made sense, then they gave me more confident that I had the correct answer.",Conf.+Adaptive,lsat
68,3e5ad463,,no,Conf.+Adaptive,lsat
69,3e5ad463,,none,Conf.+Adaptive,lsat
70,3e5ad464,assist_is_useful,4,Conf.+Double,lsat
71,3e5ad464,expl_is_useful,5,Conf.+Double,lsat
72,3e5ad464,assit_useful_detail,"After picking which answer I thought was correct, I then checked Jarvis' suggestions. If we disagreed, I reread the question before deciding on the answer.",Conf.+Double,lsat
73,3e5ad464,,no,Conf.+Double,lsat
74,3e5ad464,,No.,Conf.+Double,lsat
75,3e5ad465,assist_is_useful,2,Conf.+Double,lsat
76,3e5ad465,expl_is_useful,2,Conf.+Double,lsat
77,3e5ad465,assit_useful_detail,"I scanned his information, but just as a different perspective. I found him to be inaccurate too much.",Conf.+Double,lsat
78,3e5ad465,,no,Conf.+Double,lsat
79,3e5ad465,,none,Conf.+Double,lsat
80,3e5ad467,assist_is_useful,2,Conf.+Single,lsat
81,3e5ad467,expl_is_useful,4,Conf.+Single,lsat
82,3e5ad467,assit_useful_detail,If I was unsure about an answer I looked at what Jarvis said and decided if it made sense to me.,Conf.+Single,lsat
83,3e5ad467,,no,Conf.+Single,lsat
84,3e5ad467,,No,Conf.+Single,lsat
85,3e5ad468,assist_is_useful,4,Conf.,lsat
86,3e5ad468,expl_is_useful,,Conf.,lsat
87,3e5ad468,assit_useful_detail,jarvis help me to identify the correct response. its accuracy is mostly correct.,Conf.,lsat
88,3e5ad468,,no,Conf.,lsat
89,3e5ad468,,nice,Conf.,lsat
90,3e5ad469,assist_is_useful,1,Conf.+Single,lsat
91,3e5ad469,expl_is_useful,1,Conf.+Single,lsat
92,3e5ad469,assit_useful_detail,I didn't rely on it because early on it became obvious that it was very flawed and Jarvis was inaccurate in his confidence. I read through it but did not put much weight on the predictions.,Conf.+Single,lsat
93,3e5ad469,,no,Conf.+Single,lsat
94,3e5ad469,,,Conf.+Single,lsat
95,3e5ad46a,assist_is_useful,3,Conf.+Adaptive,lsat
96,3e5ad46a,expl_is_useful,3,Conf.+Adaptive,lsat
97,3e5ad46a,assit_useful_detail,They were okay.,Conf.+Adaptive,lsat
98,3e5ad46a,,no,Conf.+Adaptive,lsat
99,3e5ad46a,,,Conf.+Adaptive,lsat
100,3e5ad46b,assist_is_useful,3,Conf.,lsat
101,3e5ad46b,expl_is_useful,,Conf.,lsat
102,3e5ad46b,assit_useful_detail,"if i genuinely had no idea, i used jarvis' answer ratings as a guide.  then i reread the question with those two answers in mind and picked the one that one that made the most sense.",Conf.,lsat
103,3e5ad46b,,no,Conf.,lsat
104,3e5ad46b,,,Conf.,lsat
105,3e5ad46c,assist_is_useful,4,Conf.+Double,lsat
106,3e5ad46c,expl_is_useful,4,Conf.+Double,lsat
107,3e5ad46c,assit_useful_detail,I took it into consideration. Sometimes it helped me choose an answer.,Conf.+Double,lsat
108,3e5ad46c,,yes,Conf.+Double,lsat
109,3e5ad46c,,,Conf.+Double,lsat
110,3e5ad46d,assist_is_useful,1,Conf.,lsat
111,3e5ad46d,expl_is_useful,,Conf.,lsat
112,3e5ad46d,assit_useful_detail,I did not at any time bother to what his argument/choices were,Conf.,lsat
113,3e5ad46d,,no,Conf.,lsat
114,3e5ad46d,,,Conf.,lsat
115,3e5ad471,assist_is_useful,4,Conf.+Double,lsat
116,3e5ad471,expl_is_useful,4,Conf.+Double,lsat
117,3e5ad471,assit_useful_detail,I compared Jarvis information with mine to determine the answers,Conf.+Double,lsat
118,3e5ad471,,no,Conf.+Double,lsat
119,3e5ad471,,none,Conf.+Double,lsat
120,3e5ad473,assist_is_useful,4,Conf.+Single,lsat
121,3e5ad473,expl_is_useful,4,Conf.+Single,lsat
122,3e5ad473,assit_useful_detail,"I took its suggestions under advisement. Though, I always made my own decision in the end.",Conf.+Single,lsat
123,3e5ad473,,no,Conf.+Single,lsat
124,3e5ad473,,,Conf.+Single,lsat
125,3e5ad475,assist_is_useful,4,Conf.+Double,lsat
126,3e5ad475,expl_is_useful,4,Conf.+Double,lsat
127,3e5ad475,assit_useful_detail,"I first read the prompt and tried to solve the questions myself. If i was sure of the answer, I went with my answer, but for questions where I struggled between a couple of answers, I read Jarvis's explanations and if they seemed reasonable, I went with his suggestion.",Conf.+Double,lsat
128,3e5ad475,,no,Conf.+Double,lsat
129,3e5ad475,,no,Conf.+Double,lsat
130,3e5ad476,assist_is_useful,2,Conf.,lsat
131,3e5ad476,expl_is_useful,,Conf.,lsat
132,3e5ad476,assit_useful_detail,"There were times I was totally unsure of the answer so I looked to Jarvis to give me some kind of clue. However, he wasn't very reliable and I quickly learned it was better to just go with my gut and largely ignore Jarvis.  I didn't trust him to give me the correct answer consistently.",Conf.,lsat
133,3e5ad476,,no,Conf.,lsat
134,3e5ad476,,,Conf.,lsat
135,3e5ad477,assist_is_useful,4,Conf.+Adaptive,lsat
136,3e5ad477,expl_is_useful,4,Conf.+Adaptive,lsat
137,3e5ad477,assit_useful_detail,"I first try to answer the questions on my own before comparing my answer with that of Jarvis. If I am very sure of my answer, I will go with it irrespective of Jarvis suggestions otherwise I go with Jarvis suggestions.",Conf.+Adaptive,lsat
138,3e5ad477,,no,Conf.+Adaptive,lsat
139,3e5ad477,,,Conf.+Adaptive,lsat
140,3e5ad478,assist_is_useful,3,Conf.+Adaptive,lsat
141,3e5ad478,expl_is_useful,3,Conf.+Adaptive,lsat
142,3e5ad478,assit_useful_detail,I considered that information in addition to my own opinions. If I was conflicted I might give the provided information more weight.,Conf.+Adaptive,lsat
143,3e5ad478,,no,Conf.+Adaptive,lsat
144,3e5ad478,,,Conf.+Adaptive,lsat
145,3e5ad479,assist_is_useful,3,Conf.+Single,lsat
146,3e5ad479,expl_is_useful,3,Conf.+Single,lsat
147,3e5ad479,assit_useful_detail,"when i second guessed myself,  I did look at his answers",Conf.+Single,lsat
148,3e5ad479,,no,Conf.+Single,lsat
149,3e5ad479,,no,Conf.+Single,lsat
150,3e5ad47a,assist_is_useful,2,Conf.,lsat
151,3e5ad47a,expl_is_useful,,Conf.,lsat
152,3e5ad47a,assit_useful_detail,"I looked at Jarvis's suggestions and initially gave those answers a higher weighting in my mind.  However, I carefully reviewed all the answers and determined that some of Jarvis's answers were not reasonable.",Conf.,lsat
153,3e5ad47a,,no,Conf.,lsat
154,3e5ad47a,,I thought that the HIT worked well and I appreciate that the instructions were explicitly communicated.,Conf.,lsat
155,3e5ad47b,assist_is_useful,4,Conf.+Double,lsat
156,3e5ad47b,expl_is_useful,3,Conf.+Double,lsat
157,3e5ad47b,assit_useful_detail,First I made a tentative decision without looking at Jarvis' information and then I checked Jarvis to see what it said and compared it to what I thought.,Conf.+Double,lsat
158,3e5ad47b,,no,Conf.+Double,lsat
159,3e5ad47b,,,Conf.+Double,lsat
160,3e5ad47d,assist_is_useful,4,Conf.+Adaptive,lsat
161,3e5ad47d,expl_is_useful,5,Conf.+Adaptive,lsat
162,3e5ad47d,assit_useful_detail,good,Conf.+Adaptive,lsat
163,3e5ad47d,,no,Conf.+Adaptive,lsat
164,3e5ad47d,,nice,Conf.+Adaptive,lsat
165,3e5ad47f,assist_is_useful,3,Conf.+Double,lsat
166,3e5ad47f,expl_is_useful,3,Conf.+Double,lsat
167,3e5ad47f,assit_useful_detail,"I mean, I looked at it and considered just going by what it said. But, I also need money, so I had to go with what I thought instead.",Conf.+Double,lsat
168,3e5ad47f,,no,Conf.+Double,lsat
169,3e5ad47f,,I thought that a few of the correct answers didn't make sense.,Conf.+Double,lsat
170,3e5ad480,assist_is_useful,2,Conf.,lsat
171,3e5ad480,expl_is_useful,,Conf.,lsat
172,3e5ad480,assit_useful_detail,I used to get an idea of the answer. Then I evaluate to get the correct answer.,Conf.,lsat
173,3e5ad480,,no,Conf.,lsat
174,3e5ad480,,none,Conf.,lsat
175,3e5ad481,assist_is_useful,4,Conf.+Adaptive,lsat
176,3e5ad481,expl_is_useful,3,Conf.+Adaptive,lsat
177,3e5ad481,assit_useful_detail,I completely relied on Jarvis even when I thought another answer was correct.,Conf.+Adaptive,lsat
178,3e5ad481,,no,Conf.+Adaptive,lsat
179,3e5ad481,,,Conf.+Adaptive,lsat
180,3e5ad482,assist_is_useful,4,Conf.+Double,lsat
181,3e5ad482,expl_is_useful,3,Conf.+Double,lsat
182,3e5ad482,assit_useful_detail,the information that Jarvis provided is very helpful.,Conf.+Double,lsat
183,3e5ad482,,no,Conf.+Double,lsat
184,3e5ad482,,,Conf.+Double,lsat
185,3e5ad483,assist_is_useful,4,Conf.+Single,lsat
186,3e5ad483,expl_is_useful,2,Conf.+Single,lsat
187,3e5ad483,assit_useful_detail,I trusted the bot when the percentage was high.  Otherwise I would go with my own intuition.,Conf.+Single,lsat
188,3e5ad483,,no,Conf.+Single,lsat
189,3e5ad483,,Not at this time.,Conf.+Single,lsat
190,3e5ad48a,assist_is_useful,4,Conf.+Adaptive,lsat
191,3e5ad48a,expl_is_useful,3,Conf.+Adaptive,lsat
192,3e5ad48a,assit_useful_detail,I just used different details and clues from Jarvis to try and deduce the correct answer. There were a couple times where I felt like his input threw me off a little and I ended up getting the question wrong.,Conf.+Adaptive,lsat
193,3e5ad48a,,no,Conf.+Adaptive,lsat
194,3e5ad48a,,,Conf.+Adaptive,lsat
195,3e5ad48b,assist_is_useful,3,Conf.+Double,lsat
196,3e5ad48b,expl_is_useful,2,Conf.+Double,lsat
197,3e5ad48b,assit_useful_detail,"I did not really trust the reasoning of Jarvis, so I did not use it frequently.",Conf.+Double,lsat
198,3e5ad48b,,no,Conf.+Double,lsat
199,3e5ad48b,,,Conf.+Double,lsat
200,3e5ad48e,assist_is_useful,4,Conf.+Adaptive,lsat
201,3e5ad48e,expl_is_useful,3,Conf.+Adaptive,lsat
202,3e5ad48e,assit_useful_detail,I tried to see His reasoning and my reasoning to see if it fits.  I use Jarvis as a consensus with myself,Conf.+Adaptive,lsat
203,3e5ad48e,,no,Conf.+Adaptive,lsat
204,3e5ad48e,,no,Conf.+Adaptive,lsat
205,3e5ad48f,assist_is_useful,2,Conf.+Single,lsat
206,3e5ad48f,expl_is_useful,2,Conf.+Single,lsat
207,3e5ad48f,assit_useful_detail,I would consult it after reading the problem and choosing my own answer,Conf.+Single,lsat
208,3e5ad48f,,no,Conf.+Single,lsat
209,3e5ad48f,,,Conf.+Single,lsat
210,3e5ad492,assist_is_useful,4,Conf.,lsat
211,3e5ad492,expl_is_useful,,Conf.,lsat
212,3e5ad492,assit_useful_detail,"I would look at Jarvis's answers first and compare. If it lined up with my answer, then I went with it. But I always went with my gut. ",Conf.,lsat
213,3e5ad492,,no,Conf.,lsat
214,3e5ad492,,Thanks!,Conf.,lsat
215,3e5ad494,assist_is_useful,2,Conf.+Double,lsat
216,3e5ad494,expl_is_useful,2,Conf.+Double,lsat
217,3e5ad494,assit_useful_detail,"I barely noticed it, to be frank. It's not broken out in a clear way, and I was too busy thinking about the problems on my own.",Conf.+Double,lsat
218,3e5ad494,,no,Conf.+Double,lsat
219,3e5ad494,,Not especially!,Conf.+Double,lsat
220,3e5ad495,assist_is_useful,4,Conf.+Single,lsat
221,3e5ad495,expl_is_useful,5,Conf.+Single,lsat
222,3e5ad495,assit_useful_detail,"When there was a lot of justification, I generally assumed the AI knew what it was talking about.  Though sometimes I went with my intuition, overall if the reasoning was sound, I went with it.",Conf.+Single,lsat
223,3e5ad495,,no,Conf.+Single,lsat
224,3e5ad495,,,Conf.+Single,lsat
225,3e5ad49a,assist_is_useful,5,Conf.+Adaptive,lsat
226,3e5ad49a,expl_is_useful,4,Conf.+Adaptive,lsat
227,3e5ad49a,assit_useful_detail,I used the explanations that Jarvis provided to help me choose the correct answer if I was unsure of an answer.,Conf.+Adaptive,lsat
228,3e5ad49a,,no,Conf.+Adaptive,lsat
229,3e5ad49a,,No,Conf.+Adaptive,lsat
230,3e5ad49b,assist_is_useful,3,Conf.+Adaptive,lsat
231,3e5ad49b,expl_is_useful,3,Conf.+Adaptive,lsat
232,3e5ad49b,assit_useful_detail,I've used some of your predictions to rule out options. Although there's still a lot of room for improvement,Conf.+Adaptive,lsat
233,3e5ad49b,,no,Conf.+Adaptive,lsat
234,3e5ad49b,,,Conf.+Adaptive,lsat
235,3e5ad49d,assist_is_useful,4,Conf.+Single,lsat
236,3e5ad49d,expl_is_useful,2,Conf.+Single,lsat
237,3e5ad49d,assit_useful_detail,My strategy was to disregard Jarvis's rating and explanation until I had arrived at an outcome. Then I would crosscheck my answer with his suggestions and try to make the correct decision. ,Conf.+Single,lsat
238,3e5ad49d,,no,Conf.+Single,lsat
239,3e5ad49d,,I very much enjoy logic type challenges and this was quite fun. I do not really have any ideas to improve upon it. I thought it was well done.,Conf.+Single,lsat
240,3e5ad49e,assist_is_useful,3,Conf.,lsat
241,3e5ad49e,expl_is_useful,,Conf.,lsat
242,3e5ad49e,assit_useful_detail,I made my own decision first and then looked to Jarvis.,Conf.,lsat
243,3e5ad49e,,no,Conf.,lsat
244,3e5ad49e,,,Conf.,lsat
245,3e5ad4a0,assist_is_useful,1,Conf.+Adaptive,lsat
246,3e5ad4a0,expl_is_useful,1,Conf.+Adaptive,lsat
247,3e5ad4a0,assit_useful_detail,I did not use Jarvis' information. Not at all.,Conf.+Adaptive,lsat
248,3e5ad4a0,,no,Conf.+Adaptive,lsat
249,3e5ad4a0,,No,Conf.+Adaptive,lsat
250,3e5ad4a1,assist_is_useful,2,Conf.+Single,lsat
251,3e5ad4a1,expl_is_useful,2,Conf.+Single,lsat
252,3e5ad4a1,assit_useful_detail,I rarely used Jarvis to get my answer. I would glance at Jarvis' response after I selected my own response to see what his answer was.,Conf.+Single,lsat
253,3e5ad4a1,,no,Conf.+Single,lsat
254,3e5ad4a1,,"Some of the wording of the questions could have been a little bit better. I had to read a few of them over more than once to make sure I understood them, this caused it to take 45 min to finish this task.",Conf.+Single,lsat
255,3e5ad4a3,assist_is_useful,4,Conf.+Double,lsat
256,3e5ad4a3,expl_is_useful,4,Conf.+Double,lsat
257,3e5ad4a3,assit_useful_detail,If Jarvis was in the 90% range I would usually check his suggestion first before reading the other options. ,Conf.+Double,lsat
258,3e5ad4a3,,no,Conf.+Double,lsat
259,3e5ad4a3,,Nothing to add. ,Conf.+Double,lsat
260,3e5ad4a4,assist_is_useful,4,Conf.+Adaptive,lsat
261,3e5ad4a4,expl_is_useful,3,Conf.+Adaptive,lsat
262,3e5ad4a4,assit_useful_detail,I used the information Jarvis provided if I couldn't decide between options. I also used his info if I just generally wasn't sure what to pick.,Conf.+Adaptive,lsat
263,3e5ad4a4,,no,Conf.+Adaptive,lsat
264,3e5ad4a4,,,Conf.+Adaptive,lsat
265,3e5ad4a6,assist_is_useful,4,Conf.+Single,lsat
266,3e5ad4a6,expl_is_useful,4,Conf.+Single,lsat
267,3e5ad4a6,assit_useful_detail,i used it s advice some times...after i will proceed in my way..,Conf.+Single,lsat
268,3e5ad4a6,,no,Conf.+Single,lsat
269,3e5ad4a6,,na,Conf.+Single,lsat
270,3e5ad4a7,assist_is_useful,2,Conf.+Single,lsat
271,3e5ad4a7,expl_is_useful,2,Conf.+Single,lsat
272,3e5ad4a7,assit_useful_detail,I did not use the information Jarvis provided. My strategy was to ignore his suggestions and use my own logical deductions.,Conf.+Single,lsat
273,3e5ad4a7,,no,Conf.+Single,lsat
274,3e5ad4a7,,,Conf.+Single,lsat
275,3e5ad4a8,assist_is_useful,3,Conf.+Adaptive,lsat
276,3e5ad4a8,expl_is_useful,3,Conf.+Adaptive,lsat
277,3e5ad4a8,assit_useful_detail,It both helped and hurt. His reasoning made sense but also made me go away from my gut sometimes depending on how confident he was. ,Conf.+Adaptive,lsat
278,3e5ad4a8,,no,Conf.+Adaptive,lsat
279,3e5ad4a8,,,Conf.+Adaptive,lsat
280,3e5ad4aa,assist_is_useful,3,Conf.+Double,lsat
281,3e5ad4aa,expl_is_useful,2,Conf.+Double,lsat
282,3e5ad4aa,assit_useful_detail,"I used it as a guide to find the correct answer. However, I knew that it may be wrong so I did consider other answers at times.",Conf.+Double,lsat
283,3e5ad4aa,,no,Conf.+Double,lsat
284,3e5ad4aa,,,Conf.+Double,lsat
285,3e5ad4ab,assist_is_useful,4,Conf.+Single,lsat
286,3e5ad4ab,expl_is_useful,2,Conf.+Single,lsat
287,3e5ad4ab,assit_useful_detail,"I used my own decisions to answer the first few questions, but I turned out to be incorrect most of the time. I decided to just listen to Jarvis about halfway through.",Conf.+Single,lsat
288,3e5ad4ab,,no,Conf.+Single,lsat
289,3e5ad4ab,,"Can't think of anything right now, but thank you.",Conf.+Single,lsat
290,3e5ad4ad,assist_is_useful,5,Conf.,lsat
291,3e5ad4ad,expl_is_useful,,Conf.,lsat
292,3e5ad4ad,assit_useful_detail,At first I did not use the guidance. Then I noticed that if Jarvis was almost certain of an answer it tended to be correct. So I would follow the advice of Jarvis if the certainty was high.  ,Conf.,lsat
293,3e5ad4ad,,no,Conf.,lsat
294,3e5ad4ad,,,Conf.,lsat
295,3e5ad4ae,assist_is_useful,4,Conf.,lsat
296,3e5ad4ae,expl_is_useful,,Conf.,lsat
297,3e5ad4ae,assit_useful_detail,"It was nice to compare my own conclusions to his. Overall I only used it to confirm or deny my own findings, instead of relying on him for answers.",Conf.,lsat
298,3e5ad4ae,,no,Conf.,lsat
299,3e5ad4ae,,,Conf.,lsat
300,3e5ad4af,assist_is_useful,4,Conf.+Double,lsat
301,3e5ad4af,expl_is_useful,4,Conf.+Double,lsat
302,3e5ad4af,assit_useful_detail,I used Jarvis to help me break a tie.  I also used Jarvis to try to debunk my reasons for choosing an answer.,Conf.+Double,lsat
303,3e5ad4af,,no,Conf.+Double,lsat
304,3e5ad4af,,I really enjoyed this HIT.  ,Conf.+Double,lsat
305,3e5ad4b0,assist_is_useful,4,Conf.+Double,lsat
306,3e5ad4b0,expl_is_useful,4,Conf.+Double,lsat
307,3e5ad4b0,assit_useful_detail,"I would determine what I thought was the best answer, and then compare my answer to Jarvis's and adjust accordingly.  The 2 times I got it wrong my answer matched one of Jarvis's suggestions.",Conf.+Double,lsat
308,3e5ad4b0,,no,Conf.+Double,lsat
309,3e5ad4b0,,This was fun!  Do more!,Conf.+Double,lsat
310,3e5ad4b1,assist_is_useful,3,Conf.+Single,lsat
311,3e5ad4b1,expl_is_useful,3,Conf.+Single,lsat
312,3e5ad4b1,assit_useful_detail,I only took a look at Jarvis' recommendations once or twice–which led to bad results–then decided to reason the logic of each statement on my own.,Conf.+Single,lsat
313,3e5ad4b1,,no,Conf.+Single,lsat
314,3e5ad4b1,,,Conf.+Single,lsat
315,3e5ad4b2,assist_is_useful,4,Conf.+Adaptive,lsat
316,3e5ad4b2,expl_is_useful,4,Conf.+Adaptive,lsat
317,3e5ad4b2,assit_useful_detail,I used it as a confirmation for my answer,Conf.+Adaptive,lsat
318,3e5ad4b2,,no,Conf.+Adaptive,lsat
319,3e5ad4b2,,not at all,Conf.+Adaptive,lsat
320,3e5ad4b3,assist_is_useful,4,Conf.+Adaptive,lsat
321,3e5ad4b3,expl_is_useful,3,Conf.+Adaptive,lsat
322,3e5ad4b3,assit_useful_detail,"I only looked at his information if I didn't already know, and I read the reasons he gave. I also paid attention to the percentage of certainty.",Conf.+Adaptive,lsat
323,3e5ad4b3,,no,Conf.+Adaptive,lsat
324,3e5ad4b3,,no,Conf.+Adaptive,lsat
325,3e5ad4bb,assist_is_useful,4,Conf.+Single,lsat
326,3e5ad4bb,expl_is_useful,4,Conf.+Single,lsat
327,3e5ad4bb,assit_useful_detail,"I carefully read each task and then read the information Jarvis had on the answer he chose. After I read Jarvis's answer, I went back and re-read the question and answers to see if his answers seemed accurate.",Conf.+Single,lsat
328,3e5ad4bb,,no,Conf.+Single,lsat
329,3e5ad4bb,,no,Conf.+Single,lsat
330,3e5ad4bd,assist_is_useful,2,Conf.+Adaptive,lsat
331,3e5ad4bd,expl_is_useful,2,Conf.+Adaptive,lsat
332,3e5ad4bd,assit_useful_detail,"I looked at his advice and if it re-enforced what I was thinking then I took it. If it differed from my thinking, then I tried to determine why we came up with different solutions.",Conf.+Adaptive,lsat
333,3e5ad4bd,,no,Conf.+Adaptive,lsat
334,3e5ad4bd,,none,Conf.+Adaptive,lsat
335,3e5ad4be,assist_is_useful,2,Conf.,lsat
336,3e5ad4be,expl_is_useful,,Conf.,lsat
337,3e5ad4be,assit_useful_detail,"I gauged how confident Jarvis was.  I then read the choice Jarvis chose and decided whether it made sense; if not, I read the question myself and made the decision.",Conf.,lsat
338,3e5ad4be,,no,Conf.,lsat
339,3e5ad4be,,,Conf.,lsat
340,3e5ad4bf,assist_is_useful,2,Conf.+Single,lsat
341,3e5ad4bf,expl_is_useful,2,Conf.+Single,lsat
342,3e5ad4bf,assit_useful_detail,I used his information to make a final decision on it. I didn't primarily use it to answer the question.,Conf.+Single,lsat
343,3e5ad4bf,,no,Conf.+Single,lsat
344,3e5ad4bf,,No,Conf.+Single,lsat
345,3e5ad4c1,assist_is_useful,5,Conf.+Double,lsat
346,3e5ad4c1,expl_is_useful,5,Conf.+Double,lsat
347,3e5ad4c1,assit_useful_detail,I used Jarvis's answers most of the time when they made sense.  Sometimes I selected a different answer that I thought was more appropriate.  I always took Jarvis's suggestion into consideration.,Conf.+Double,lsat
348,3e5ad4c1,,no,Conf.+Double,lsat
349,3e5ad4c1,,No,Conf.+Double,lsat
350,3e5ad4c2,assist_is_useful,4,Conf.+Adaptive,lsat
351,3e5ad4c2,expl_is_useful,3,Conf.+Adaptive,lsat
352,3e5ad4c2,assit_useful_detail,I use the percentages that he gave to make my decision ,Conf.+Adaptive,lsat
353,3e5ad4c2,,no,Conf.+Adaptive,lsat
354,3e5ad4c2,,,Conf.+Adaptive,lsat
355,3e5ad4c3,assist_is_useful,5,Conf.+Double,lsat
356,3e5ad4c3,expl_is_useful,3,Conf.+Double,lsat
357,3e5ad4c3,assit_useful_detail,I used the information exclusively. I chose all of the same answers Jarvis did.,Conf.+Double,lsat
358,3e5ad4c3,,no,Conf.+Double,lsat
359,3e5ad4c3,,,Conf.+Double,lsat
360,3e5ad4c5,assist_is_useful,3,Conf.,lsat
361,3e5ad4c5,expl_is_useful,,Conf.,lsat
362,3e5ad4c5,assit_useful_detail,"I generally used it's guesses to confirm my own or to provide me with a different perspective. The different perspective sometimes led me to second-guess my own choice and change my mind. This happened at least four times. As it turned out, the results were evenly split between getting the answer right or wrong.",Conf.,lsat
363,3e5ad4c5,,no,Conf.,lsat
364,3e5ad4c5,,"Nothing at this time, but there was one answer I unfortunately cannot remember, which I swear was wrong.",Conf.,lsat
365,3e5ad4c7,assist_is_useful,5,Conf.+Single,lsat
366,3e5ad4c7,expl_is_useful,4,Conf.+Single,lsat
